date	palladium	platinum	gold
2014-05-16	919.29	1643.9	1454.52
2014-05-17	903.49	1633.67	1446.65
2014-05-20	914.74	1651.89	1453.08
2014-05-21	908.86	1634.17	1436.71
2014-05-22	918.63	1640.88	1433.41
2014-05-23	913.67	1627.85	1426.71
2014-05-24	921.19	1637.17	1425.36
2014-05-27	907.16	1624.78	1414.97
2014-05-28	915.26	1622.35	1413.08
2014-05-29	932.55	1621.16	1402.99
2014-05-30	931.27	1617.47	1396.91
2014-05-31	928.03	1627.12	1400.42
2014-06-03	935.5	1615.24	1396.23
2014-06-04	938.79	1616.43	1400.58
2014-06-05	941.1	1605.4	1407.69
2014-06-06	935.91	1603.62	1396.86
2014-06-07	937.09	1619.02	1397.28
2014-06-10	931.56	1602.64	1385.2
2014-06-11	932.59	1615.45	1385.07
2014-06-12	941.29	1628.77	1393.17
2014-06-17	902.38	1595.83	1424.41
2014-06-18	907.63	1601.5	1415.17
2014-06-19	923.66	1620.05	1420.76
2014-06-20	912.06	1604.65	1413.85
2014-06-21	917.37	1617.84	1449.64
2014-06-24	897.12	1595.87	1447.63
2014-06-25	903.51	1600.54	1445.4
2014-06-26	899.36	1589.42	1430.26
2014-06-27	898.47	1584.26	1423.13
2014-06-28	905.0	1593.76	1422.11
2014-07-01	917.26	1611.46	1428.66
2014-07-02	929.87	1635.25	1458.91
2014-07-03	940.38	1661.63	1460.95
2014-07-04	941.08	1655.68	1453.94
2014-07-05	949.03	1655.29	1458.31
2014-07-08	960.27	1664.91	1459.57
2014-07-09	960.71	1652.47	1459.06
2014-07-10	954.23	1642.25	1448.88
2014-07-11	949.68	1643.71	1461.23
2014-07-12	949.36	1650.16	1463.46
2014-07-15	961.99	1652.6	1457.61
2014-07-16	963.64	1653.22	1449.88
2014-07-17	960.69	1637.26	1434.4
2014-07-18	986.82	1669.31	1457.57
2014-07-19	991.45	1683.32	1481.25
2014-07-22	995.04	1683.23	1481.0
2014-07-23	980.07	1671.75	1472.36
2014-07-24	977.04	1661.97	1463.31
2014-07-25	981.19	1660.13	1466.14
2014-07-26	986.12	1657.81	1456.64
2014-07-29	1005.7	1687.54	1482.99
2014-07-30	1013.91	1704.74	1497.94
2014-07-31	1011.96	1703.45	1490.38
2014-08-01	1002.8	1681.97	1475.71
2014-08-02	1001.63	1678.19	1475.45
2014-08-05	996.32	1681.93	1483.01
2014-08-06	984.07	1683.85	1487.9
2014-08-07	983.34	1689.21	1495.91
2014-08-08	996.46	1708.55	1517.42
2014-08-09	1005.38	1735.39	1543.8
2014-08-12	996.7	1703.66	1516.2
2014-08-13	1015.25	1706.78	1521.14
2014-08-14	1021.33	1711.92	1524.71
2014-08-15	1020.81	1705.6	1523.69
2014-08-16	1024.36	1689.91	1520.45
2014-08-19	1042.53	1684.27	1509.07
2014-08-20	1039.04	1679.88	1509.52
2014-08-21	1013.23	1667.75	1507.61
2014-08-22	1016.24	1663.36	1495.74
2014-08-23	1020.93	1647.14	1482.77
2014-08-26	1025.42	1644.38	1483.25
2014-08-27	1029.35	1652.07	1494.65
2014-08-28	1030.62	1651.08	1493.06
2014-08-29	1047.02	1663.32	1503.41
2014-08-30	1062.7	1690.83	1526.67
2014-09-02	1089.93	1707.44	1543.47
2014-09-03	1081.89	1702.69	1534.28
2014-09-04	1051.03	1686.93	1521.96
2014-09-05	1043.64	1670.78	1503.93
2014-09-06	1052.93	1667.83	1500.45
